L;T;β;mq1;mq2;mπ;Δmπ;mπ0;Δmπ0;mρ;Δmρ;mρ0;Δmρ0;fπ;Δfπ;fπ0;Δfπ0;fρ;Δfρ;fρ0;Δfρ0;mAWI;ΔmAWI;P;ΔP
10;20;7.05;-0.85;-0.85;0.4349925724721612;0.013627470819316362;0.43757842960303983;0.009126081230556556;0.5973872428366637;0.0075609515823561605;0.600862168364238;0.006213568306078303;0.05999462289135736;0.0025865145178353877;0.06224807131544547;0.0017093122736393852;0.14900881044624562;0.003066878801707904;0.14911410350612844;0.0024650691149338965;0.04385408997120222;0.002502258804125218;0.5770689620437955;0.0001481013731493979
10;20;7.2;-0.794;-0.794;0.5839649962033013;0.03227358413599862;0.6795018251708709;0.029582454413101648;0.6800160512522985;0.008658090821117495;0.671679474103226;0.006670483862402311;0.04775556226859032;0.00353136910720566;0.05947673927657251;0.0034150775684132747;0.1402788735268985;0.0033311529562398572;0.13841098137602895;0.0025242922323509944;0.03947540790308002;0.001818615244587346;0.5908265656934306;6.963753378359934e-5
10;20;6.9;-0.87;-0.87;0.7486187257696366;0.004337001731000429;0.7486187257696366;0.004337001731000429;0.8468713050165937;0.005134652500594569;0.8468713050165937;0.005134652500594569;0.13198041478151418;0.0023430307021679577;0.13198041478151418;0.0023430307021679577;0.21816664518331502;0.004886897028804221;0.21816664518331502;0.004886897028804221;NaN;NaN;0.5506623716216216;8.516376712080304e-5
10;20;7.05;-0.80;-0.80;0.6486255342243318;0.004540805349050989;0.6486255342243318;0.004540805349050989;0.7371263537155601;0.004189766895843302;0.7371263537155601;0.004189766895843302;0.10413883384656526;0.0019164781789510884;0.10413883384656526;0.0019164781789510884;0.17133425226507568;0.002904683738279114;0.17133425226507568;0.002904683738279114;NaN;NaN;0.5708919875912408;0.0002488921271014761
10;20;7.2;-0.75;-0.75;0.556647478222506;0.009847802392064883;0.5555502219831565;0.008161859164186536;0.6562151552538933;0.006618065674082371;0.6505556493856385;0.005806742898471327;0.08491257156384782;0.0031197648244488717;0.08713294440557509;0.0027713962957575766;0.14652225682827427;0.003852128179243814;0.14673780166464112;0.0031922910989178386;0.09320563956474359;0.002226974828113043;0.5865235864864866;0.00016869926466316868
12;24;6.9;-0.90;-0.80;0.8239925034439654;0.004335581184556919;0.7649527307954174;0.006945308801488347;0.9193302761054266;0.003741461481931939;0.8685897401215268;0.0049249316974169415;0.1373658746112396;0.003439746001251959;0.1217436003873901;0.0048855231413831605;0.2264504941231266;0.004201324294677312;0.20048873305126877;0.005634323971429078;0.1622120183377489;0.006919278213160407;0.5474392877192983;0.00011665630760678964
12;24;6.9;-0.90;-0.90;0.5612332930183233;0.003472455289981334;0.5612332930183233;0.003472455289981334;0.6984170443522819;0.003567024544584909;0.6984170443522819;0.003567024544584909;0.10348376466945235;0.001799890520986499;0.10348376466945235;0.001799890520986499;0.1933823705250984;0.0031662864857089227;0.1933823705250984;0.0031662864857089227;NaN;NaN;0.5569758814054052;3.212422149368931e-5
12;24;7.05;-0.835;-0.835;0.4564228254112169;0.008746423087882349;0.4564228254112169;0.008746423087882349;0.5909366615778054;0.009665991504942188;0.5909366615778054;0.009665991504942188;0.07802150168261343;0.0028339028291364627;0.07802150168261343;0.0028339028291364627;0.15404331922093448;0.005958238694486045;0.15404331922093448;0.005958238694486045;NaN;NaN;0.5752393145454545;8.934664985996943e-5
12;24;7.2;-0.78;-0.78;0.46672301154287793;0.00971854865182525;0.46906496956327015;0.005916101393289667;0.565830267190809;0.0068937684932914795;0.5688882634013129;0.0047385972580831145;0.062066388656026365;0.0027937827946956355;0.061506574321363465;0.0014900469247990833;0.12536856839251825;0.004119266081429198;0.12691733202133443;0.0028001408924857064;0.04851241485956667;0.0015880014520151392;0.5871295966101695;0.0013246397435699342
12;24;6.9;-0.92;-0.92;0.0038525240145876292;0.0016030572354535336;0.0038525240145876292;0.0016030572354535336;0.5100563456626839;0.0648986860579553;0.5100563456626839;0.0648986860579553;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12;24;7.05;-0.85;-0.85;0.42177707901583267;0.006904078845827406;0.43025360881907326;0.005176498475159564;0.5548440237655662;0.008995633209615092;0.555117810474658;0.006879420128292994;0.06742798754592394;0.0015565199914080881;0.06925173559816997;0.001212519259757961;0.13938801607428233;0.005159881951727118;0.13919745326087957;0.0039048629751930373;0.036587497822481406;0.00524800399389249;0.5760016272727273;0.0008247244060452673
12;24;7.2;-0.794;-0.794;0.3806829046192013;0.008393474941267918;0.33432286138246115;0.04831140751752463;0.524127953207851;0.007074962660917615;0.5236954456264312;0.006033691301744687;0.05449852650534259;0.0017978728145614771;0.042321131488018866;0.011831030575450199;0.12806913880026652;0.0037683419978598092;0.1270466131516797;0.0032348902041241154;0.03249184570329456;0.0025864679920040955;0.5886969187134505;0.0010787059938198557
