L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,P,ΔP
12,24,6.9,-0.92,-0.6,1.08092914641215,0.005892507302216,0.823971645412697,0.007514886682359,1.14766400632172,0.005315235503756,0.943401454530976,0.0061080680155,0.163092888950352,0.00346802088917,0.113259115248726,0.003623317384922,0.244250953220125,0.003553120626354,0.195742433807414,0.004232649278176,0.538567574074074,0.000244155001512
12,24,6.9,-0.92,-0.65,1.02598579476645,0.006467991467233,0.808274593465222,0.006733825611533,1.10138156836884,0.006411610389819,0.929105774435415,0.006066018081181,0.161029817689501,0.003556153436439,0.116154328756107,0.003158875655616,0.242966657113577,0.005128732265063,0.198318526793494,0.00361572352107,0.540090433333333,0.000272910397723
12,24,6.9,-0.92,-0.7,0.953864449901707,0.006280730780373,0.778331585683328,0.007141391274333,1.03348178120374,0.00599419919184,0.915619675425331,0.00679220600897,0.152216627054707,0.003635012189028,0.113723924312879,0.00371230637106,0.237713520240717,0.004037799397248,0.205840717506944,0.004116279886711,0.542953881481482,0.000324714711431
12,24,6.9,-0.92,-0.75,0.878319232209368,0.006693436992888,0.747098281060156,0.011389809298022,0.960642819516534,0.005318097363018,0.87571486571146,0.007113502335082,0.152463856043396,0.004935725601558,0.116381663127861,0.005319452641871,0.235769640395104,0.004123522861349,0.208702471867675,0.004339946072312,0.546067496296296,0.000174270833117
10,20,7.05,-0.85,-0.6,0.88969334572405,0.006727302223436,0.721533429789636,0.011896329496283,0.965629536231811,0.006391581808496,0.822936867042239,0.009801268133918,0.132203129699187,0.002976389055305,0.101204291815622,0.002454762287539,0.209574408518467,0.002866824320534,0.179598211856963,0.002336357462104,0.564986324324324,0.000253392575482
10,20,7.05,-0.85,-0.65,0.812780631977084,0.007423190094322,0.658218241740129,0.013966709752853,0.901231310506686,0.006262787393366,0.793286515917184,0.009543724976634,0.126515274917255,0.003428589905162,0.102522953786256,0.002579088029891,0.203829537487204,0.002800849806489,0.185354990315226,0.002633767008858,0.566500548648649,0.000407595021996
10,20,7.05,-0.85,-0.7,0.746914052024726,0.008882526966505,0.639242885177321,0.010485768860616,0.83626638954729,0.007011758693423,0.758702099450664,0.009444126571906,0.124050017793451,0.00392390804351,0.099599270998401,0.002626569403855,0.205430231367102,0.003630305443355,0.181184131753618,0.002899937338839,0.568773089189189,0.00029749253332
10,20,7.05,-0.85,-0.75,0.636787650843737,0.011696285704597,0.601477717830222,0.013302307049261,0.755851790741503,0.008033664869537,0.732455454558829,0.007733124486386,0.103547916767908,0.004441138439665,0.095511632535839,0.003403345674445,0.192298506691798,0.00400455179761,0.186392630027986,0.002636571670187,0.571814051351351,0.00024733836252
10,20,7.05,-0.85,-0.8,0.529935652912603,0.022491015915198,0.536029452999134,0.017367677324058,0.697560254442086,0.009359358240392,0.696292535716739,0.007564635393032,0.075894264334743,0.005219206996582,0.08526828919893,0.004141871234455,0.181507492699856,0.003455047818711,0.184904940477295,0.003056503961299,0.574224002702703,0.000212077021711
10,20,7.05,-0.85,-0.83,0.44860944936399,0.02261779269101,0.500129352654311,0.020775325610986,0.655725219197689,0.019233790239293,0.663248113535511,0.012004760255797,0.069799364296945,0.004932496886792,0.067218727362381,0.005356586699193,0.17338490252127,0.005240953123255,0.172517077070208,0.00334500018258,0.576494845945946,0.000330125273677
