L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,mAWI,ΔmAWI,P,ΔP
14,24,7.05,-0.85,-0.8,0.501280463556259,0.00485350806788,0.48069700545969,0.005414055884168,0.621051303892975,0.003303181432876,0.60646596294289,0.003779121967177,0.08858255686615,0.002053010271839,0.082942611458601,0.001649087382245,0.162800307691651,0.00213325357863,0.157059105076603,0.001718172988477,0.07162199439225,0.003292527201223,0.573929325454545,9.85935542679079E-05
14,24,7.05,-0.85,-0.83,0.427480896334578,0.007890250874391,0.421973152109366,0.00595471865091,0.563446189091911,0.004589122284645,0.556192403727735,0.003855269945884,0.078139222551687,0.002535488610882,0.080327228476826,0.001727594235408,0.15517413743732,0.00230469304256,0.152875547957407,0.001591119817195,0.047416859561897,0.003007421423045,0.575898268181818,8.02977994526431E-05
14,24,7.05,-0.85,-0.85,0.349694239065981,0.007869936402615,0.348438750449286,0.006548382246056,0.509669058457839,0.004458484118018,0.518490705376631,0.003389428105058,0.067444024988908,0.002253388572678,0.065571146304247,0.001473152918036,0.143372365958696,0.001884517751673,0.144700422121633,0.001293152355332,0.035098654903645,0.00228922335167,0.5773623875,7.47575345819051E-05
14,24,7.2,-0.794,-0.45,0.874082390964179,0.004424612615128,0.550344611025591,0.007024721817598,0.925268933331954,0.00427352798147,0.653993678089132,0.005036363063446,0.108312473899206,0.002259440553211,0.070463708042416,0.002577130399069,0.157613239995656,0.002403521593066,0.122072822908332,0.002132804471037,0.226977499530496,0.007145256101257,0.580811804545454,0.000107333269488
14,24,7.2,-0.794,-0.5,0.822573089882084,0.004830100167247,0.535229928585622,0.008124728596616,0.878700759644762,0.003655265916128,0.646879237053194,0.004852816974545,0.106504568717164,0.002280543471211,0.070800837078145,0.002132079467195,0.157839754257778,0.002133142349186,0.125291296116384,0.001575599421505,0.201235519027512,0.007354806775554,0.581620279545454,0.000122035557895
14,24,7.2,-0.794,-0.55,0.755355882828346,0.003978600066989,0.506012220334368,0.007516390518917,0.818607554237277,0.002951259232522,0.633095007238549,0.005232145130359,0.099678773145356,0.00215041484131,0.066466157083568,0.002660617640052,0.155072679725181,0.002041936623025,0.127608033064445,0.002487651854084,0.172225691676119,0.006571154751928,0.582856938636364,0.000125990005159
14,24,7.2,-0.794,-0.6,0.685714842886485,0.002542395809383,0.509841188845203,0.004210859762062,0.755459700397705,0.002068551842913,0.618382921974693,0.002709557297971,0.09541252508725,0.00115201293808,0.070069161982442,0.001032667857503,0.151451273821197,0.001100803327592,0.125796106859379,0.000990093407846,0.143801262375397,0.003217628078032,0.58407793220339,5.35692424524677E-05
14,24,7.2,-0.794,-0.65,0.612970979461265,0.002641270886273,0.488399207678853,0.004451040351442,0.693311032611062,0.001778240658032,0.603954891375274,0.002834210656863,0.09047271657823,0.001093170965162,0.071253673469119,0.000978094704065,0.149696935167774,0.000947469168399,0.130146980677271,0.001037419865263,0.117207978928608,0.002873505432073,0.585434452542373,5.84100340273332E-05
14,24,7.2,-0.794,-0.7,0.528561750027633,0.003380100685686,0.460348316334672,0.00469494466619,0.619755241073752,0.002065803074167,0.577017492826304,0.003027732543936,0.081097863821192,0.001289382210905,0.071710750121129,0.001193326673529,0.14222597296064,0.00096454657054,0.134800121483006,0.001196312148907,0.086169349902186,0.002748408756569,0.586957337288135,5.996626180463E-05
16,32,7.2,-0.794,-0.75,0.420356171306751,0.003834713851068,0.39624146592234,0.004936407766726,0.522194451212084,0.008762319489549,0.50747337413774,0.011776737798998,0.071311877790577,0.001795833647857,0.066067787337326,0.001770336721135,0.124254169290967,0.005821473748081,0.118979786132307,0.00720425171573,0.058911117588454,0.00253481257482,0.588778921383648,4.62302830238113E-05
